name,number_of_visitors,year,population,city_normalized,city,country
British Museum,1327120,2021,9425622.0,london,London,United Kingdom
California Science Center,271000,2020,3981560.0,losangeles,Los Angeles,United States
Centre Pompidou,1500000,2021,11078546.0,paris,Paris,France
Centre Pompidou,3000000,2022,11027000.0,paris,Paris,France
Centro Cultural Banco do Brasil,790357,2020,13458075.0,riodejaneiro,Rio de Janeiro,Brazil
Chengdu Museum,2259000,2019,4123000.0,chengdu,Chengdu,China
China Science and Technology Museum,2360000,2021,20896820.0,beijing,Beijing,China
Chongqing Museum of Natural History,2624700,2019,6461000.0,chongqing,Chongqing,China
Cité des Sciences et de l'Industrie,642416,2020,11017230.0,paris,Paris,France
Denver Museum of Nature and Science,958830,2021,749103.0,denver,Denver,United States
Deutsches Museum,517000,2021,1553000.0,munchen,München,Germany
Galleria degli Uffizi,1700000,2021,709064.0,florence,Florence,Italy
Galleria degli Uffizi,4000000,2022,380948.0,florence,Florence,Italy
Guangdong Museum,2234800,2019,8829000.0,guangzhou,Guangzhou,China
Guangdong Museum of Revolutionary History,4257100,2019,8829000.0,guangzhou,Guangzhou,China
Hermitage Museum,2700000,2022,5384342.0,saintpetersburg,Saint Petersburg,Russia
Hubei Provincial Museum,446000,2020,8364977.0,wuhan,Wuhan,China
Hunan Museum,460000,2021,4694722.0,changsha,Changsha,China
Inner Mongolia Museum,2361000,2019,1726000.0,hohhot,Hohhot,China
Jakarta History Museum,741487,2019,9125000.0,jakarta,Jakarta,Indonesia
Liaoning Provincial Museum,2280000,2019,4787000.0,shenyang,Shenyang,China
London Science Museum,955573,2021,9425622.0,london,London,United Kingdom
Louvre,2600000,2021,11078546.0,paris,Paris,France
Louvre,7800000,2022,11027000.0,paris,Paris,France
Metropolitan Museum of Art,1958000,2021,8230290.0,newyorkcity,New York City,United States
Mevlana Museum,3464155,2019,919000.0,konya,Konya,Turkey
"Multimedia Art Museum, Moscow|Multimedia Art Museum",2242405,2021,12593252.0,moscow,Moscow,Russia
Museo Nacional Centro de Arte Reina Sofía|Museo Reina Sofía,1643000,2021,6668865.0,madrid,Madrid,Spain
Museo Nacional de Historia|National Museum of History,331985,2021,21918936.0,mexicocity,Mexico City,Mexico
Museo del Prado,1126875,2021,6668865.0,madrid,Madrid,Spain
Museum Island,640000,2021,3566791.0,berlin,Berlin,Germany
Musée d'Orsay,1044365,2021,11078546.0,paris,Paris,France
Musée d'Orsay,3200000,2022,11027000.0,paris,Paris,France
Nanjing Museum,2034000,2021,9143980.0,nanjing,Nanjing,China
National Air and Space Museum,1486000,2022,5379184.0,washington,Washington,United States
"National Archaeological Museum, Naples|National Archeological Museum of Naples",670594,2019,2250000.0,naples,Naples,Italy
National Folk Museum of Korea,2286276,2019,9796000.0,seoul,Seoul,"Korea, South"
National Gallery,708924,2021,9425622.0,london,London,United Kingdom
National Gallery of Art,1704606,2021,714153.0,washington,Washington,United States
National Gallery of Victoria|NGV International,2432883,2019,4170000.0,melbourne,Melbourne,Australia
National Museum of African-American History and Culture,392960,2021,714153.0,washington,Washington,United States
National Museum of Anthropology (Mexico)|National Museum of Anthropology,477147,2021,21918936.0,mexicocity,Mexico City,Mexico
National Museum of China,2378000,2021,20896820.0,beijing,Beijing,China
National Museum of Korea,774000,2020,9963452.0,seoul,Seoul,South Korea
National Museum of Natural History,3900000,2022,5379184.0,washington,Washington,United States
National Museum of Natural Science,1566000,2021,1338086.0,taichung,Taichung,Taiwan
National Museum of Nature and Science,580000,2020,37393128.0,tokyo,Tokyo,Japan
National Museum of Scotland,660741,2021,526470.0,edinburgh,Edinburgh,United Kingdom
"National Palace Museum,Southern Branch of the National Palace Museum|Southern Branch",416436,2021,2731208.0,taipei,Taipei,Taiwan
National Taiwan Science Education Center,1158000,2021,2731208.0,taipei,Taipei,Taiwan
"Natural History Museum, London|Natural History Museum",1571413,2021,9425622.0,london,London,United Kingdom
Prado Museum,2500000,2022,6006000.0,madrid,Madrid,Spain
Rijksmuseum,625000,2021,1157519.0,amsterdam,Amsterdam,Netherlands
Royal Museums Greenwich,686375,2021,9425622.0,london,London,United Kingdom
Russian Museum,2260231,2021,5504305.0,saintpetersburg,Saint Petersburg,Russia
Shaanxi History Museum,1000000,2020,8000965.0,xian,Xi'an,China
Shanghai Museum,880457,2021,27795702.0,shanghai,Shanghai,China
Shanghai Natural History Museum,2166000,2021,27795702.0,shanghai,Shanghai,China
Shanghai Science and Technology Museum,2368000,2021,27795702.0,shanghai,Shanghai,China
Shenzhen Museum,3826000,2019,7581000.0,shenzhen,Shenzhen,China
Smithsonian Museum of American History,1800000,2022,5379184.0,washington,Washington,United States
State Hermitage Museum,1649443,2021,5504305.0,saintpetersburg,Saint Petersburg,Russia
Suzhou Museum,2030000,2019,1964000.0,suzhou,Suzhou,China
Tate Modern,1156037,2021,9425622.0,london,London,United Kingdom
Three Gorges Museum,2301900,2019,6461000.0,chongqing,Chongqing,China
Tianjin Natural History Museum,1600000,2021,13794450.0,tianjin,Tianjin,China
Tokyo Metropolitan Art Museum,1049843,2021,37339804.0,tokyo,Tokyo,Japan
Tokyo National Museum,725000,2020,37393128.0,tokyo,Tokyo,Japan
Tretyakov Gallery,1580819,2021,12593252.0,moscow,Moscow,Russia
Van Gogh Museum,366359,2021,1157519.0,amsterdam,Amsterdam,Netherlands
Vatican Museums,1612530,2021,511.0,vaticancity,Vatican City,Vatican City
Victoria and Albert Museum,857742,2021,9425622.0,london,London,United Kingdom
Wenzhou Museum,2229900,2019,2350000.0,wenzhou,Wenzhou,China
Xi'an Museum,3420000,2019,4009000.0,xian,Xi'an,China
Zhejiang Museum,929000,2021,7845501.0,hangzhou,Hangzhou,China
